City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,uturoa,-16.7333,-151.4333,25.88,84,39,4.57,PF,1723089970
256,cova figueira,14.8905,-24.2934,19.21,86,61,5.18,CV,1723089970
257,belomorsk,64.5232,34.7668,11.24,82,17,2.46,RU,1723089970
258,mejit,10.2753,170.8646,27.87,76,94,3.89,MH,1723089970
259,geraldton,-28.7667,114.6,20.23,73,75,1.54,AU,1723089939
260,daru,-9.0763,143.2092,26.0,80,97,6.39,PG,1723089933
261,inari,68.906,27.0288,9.11,56,2,2.22,FI,1723089971
262,nouadhibou,20.931,-17.0347,20.99,88,53,2.06,MR,1723089969
263,mammoth lakes,37.6485,-118.9721,23.4,22,0,5.66,US,1723089971
264,zahedan,29.4963,60.8629,27.95,14,0,2.06,IR,1723089916
265,pacific grove,36.6177,-121.9166,15.94,93,100,2.57,US,1723089961
266,hailar,49.2,119.7,23.85,43,99,2.79,CN,1723089971
267,comodoro rivadavia,-45.8667,-67.5,4.92,75,0,4.12,AR,1723089676
268,christchurch,-43.5333,172.6333,9.11,92,100,7.72,NZ,1723089726
269,fang,19.9169,99.2145,23.82,97,100,0.98,TH,1723089972
270,port isabel,26.0734,-97.2086,29.45,84,0,3.6,US,1723089900
271,choibalsan,48.0667,114.5,25.57,46,100,2.02,MN,1723089972
272,saudarkrokur,65.7461,-19.6394,7.43,90,100,1.61,IS,1723089972
273,juneau,58.3019,-134.4197,19.12,63,0,3.6,US,1723089972
274,saint-joseph,-21.3667,55.6167,19.71,75,12,2.95,RE,1723089972
275,hauterive,46.0901,3.4459,19.42,91,85,1.45,FR,1723089972
276,zhoucheng,35.9122,116.3117,31.26,70,48,0.76,CN,1723089972
277,tobelo,1.7284,128.0095,28.82,72,4,2.93,ID,1723089961
278,bhalwal,32.272,72.9043,30.36,73,84,4.84,PK,1723089973
279,koyulhisar,40.3025,37.8311,15.5,85,58,1.0,TR,1723089973
280,panjakent,39.4952,67.6093,30.79,21,0,1.27,TJ,1723089973
